,date,startup,vertical,subvertical,city,investor,round,amount
877,2017-04-12,Clovia,ecommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",PrivateEquity,32.0
878,2017-04-12,Emiza,transport_mobility,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",PrivateEquity,36.0
879,2017-04-12,HackerEarth,ecommerce,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",PrivateEquity,36.0
880,2017-04-12,Squadrun,tech,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",PrivateEquity,16.8
881,2017-04-12,Tinmen,ecommerce,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed/Angel,0.0
882,2017-04-12,ScoutMyTrip,ecommerce,Online Travel planner,Mumbai,Z Nation Lab,Seed/Angel,0.0
883,2017-04-13,SafetyKart,ecommerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,PrivateEquity,0.0
884,2017-04-13,WeAreHolidays,ecommerce,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",PrivateEquity,61.6
885,2017-04-14,Ola Cabs,ecommerce,Cab Aggregator App,Bangalore,SIMI Pacific Pte,PrivateEquity,2080.0
886,2017-04-15,Myly,ecommerce,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed/Angel,2.48
887,2017-04-17,CrediHealth,ecommerce,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",PrivateEquity,12.0
888,2017-04-17,Navia Life Care,tech,Health Technology platform,New Delhi,Benori Ventures LLP,Seed/Angel,0.0
889,2017-04-17,Raw Pressery,food,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed/Angel,0.0
890,2017-04-17,Snackible,food,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed/Angel,1.4
891,2017-04-17,Be U Salons,ecommerce,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed/Angel,4.96
892,2017-04-17,Simulanis,ecommerce,eLearning & Skills Development plat,New Delhi,Village Capital,Seed/Angel,0.0
893,2017-04-17,LendingKart,ecommerce,Lending platform for small businesses,Ahmedabad,Anicut Capital,PrivateEquity,37.2
894,2017-04-18,Innefu Security Consulting,tech,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,PrivateEquity,16.0
895,2017-04-18,Whodat,tech,Markerless AR platform,Bangalore,Ideaspring Capital,PrivateEquity,4.8
896,2017-04-18,Absentia VR,tech,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,PrivateEquity,10.0
897,2017-04-19,IOTrek,tech,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed/Angel,1.24
898,2017-04-20,HolaChef,ecommerce,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",PrivateEquity,24.0
899,2017-04-20,Wooplr,ecommerce,Social Commerce\\xc2\\xa0 Fashion platform,Bangalore,Ankit Nagori,PrivateEquity,0.0
900,2017-04-21,Video Ken,ecommerce,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed/Angel,8.0
901,2017-04-24,Faasos,food,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",PrivateEquity,50.4
902,2017-04-24,Oyo Rooms,ecommerce,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",PrivateEquity,2000.0
903,2017-04-24,Toppr,ecommerce,Learning mobile app for students,Mumbai,WGG International,PrivateEquity,25.6
904,2017-04-24,Niramai,health,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed/Angel,0.0
905,2017-04-25,The Office Pass,ecommerce,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed/Angel,1.96
906,2017-04-25,UrbanClap,ecommerce,Mobile Services Marketplace,Gurgaon,Trifecta Capital,PrivateEquity,24.8
907,2017-04-26,Awfis,ecommerce,Collaborative co-Working Spaces,Mumbai,Sequoia India,PrivateEquity,160.0
908,2017-04-26,Myra,ecommerce,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",PrivateEquity,0.0
909,2017-04-26,Flytxt,tech,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,PrivateEquity,88.0
910,2017-04-26,Howdy Ventures,ecommerce,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed/Angel,12.0
911,2017-04-26,StalkBuyLove,ecommerce,Online fashion marketplace,New Delhi,Trifecta Capital,PrivateEquity,8.0
912,2017-04-26,ZipGo,ecommerce,Bus Pooling services platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",PrivateEquity,0.0
913,2017-04-27,Scootsy,ecommerce,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",PrivateEquity,28.8
914,2017-04-27,Autobix,tech,Software Solutions for Auto Dealership,Pune,GardX International,Seed/Angel,0.0
915,2017-04-27,eShiksha,tech,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed/Angel,0.0
916,2017-04-27,iNurture,ecommerce,Online Educational courses,Bangalore,BlackSoil Capital Pvt. Ltd,PrivateEquity,12.0
917,2017-04-28,Sepalika,ecommerce,Healthcare related content platform,New Delhi,Accel Partners,Seed/Angel,6.0
918,2017-04-28,Mintwalk,ecommerce,Financial advisory mobile app,Mumbai,Poshika Financial Ecosystem,Seed/Angel,0.0
919,2017-04-29,Qriyo,ecommerce,Tutor Discovery & Booking platform,Jaipur,NB Ventures,PrivateEquity,0.0
920,2017-03-01,Ola,ecommerce,App based cab aggregator,Bangalore,SoftBank Group Corp,PrivateEquity,2640.0
921,2017-03-01,Belong,ecommerce,Online Jon Portal,Bangalore,Sequoia Capital India,PrivateEquity,80.0
922,2017-03-01,Seenit,ecommerce,AI based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed/Angel,0.0
923,2017-03-01,Paalak,ecommerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed/Angel,0.0
924,2017-03-02,Celes Care,ecommerce,Women Healthcare & Information portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",PrivateEquity,12.0
925,2017-03-02,Karomi,tech,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed/Angel,4.0
926,2017-03-02,Red Carpet,ecommerce,Micro Lending platform,Gurgaon,Lightspeed Venture Partners,PrivateEquity,20.0
927,2017-03-02,Kreate Konnect,tech,End-to-End Seller e-commerce solutions Provider,Vadodara,Langoor,Seed/Angel,0.0
928,2017-03-02,CreditMantri,ecommerce,Online Credit score & lending platform,Chennai,Quona Capital,PrivateEquity,60.8
929,2017-03-03,Lets Endorse,ecommerce,Online Ecosystem of social innovators,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed/Angel,0.0
930,2017-03-03,Tydy,tech,Employee Onboarding and Engagement platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed/Angel,2.2
931,2017-03-03,Nactus,ecommerce,Professional Tutors discovery & booking mobile app,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed/Angel,0.0
932,2017-03-03,Oho Shop,tech,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",PrivateEquity,53.6
933,2017-03-03,Emojifi,ecommerce,Mobile App for live emoji,Hyderabad,Undisclosed angel investors,Seed/Angel,0.0
934,2017-03-03,Paytm Marketplace,ecommerce,ECommerce Marketplace,Bangalore,Alibaba,PrivateEquity,1600.0
935,2017-03-04,iGenetics,health,Health Diagnostic Solutions,Mumbai,CDC Group Plc,PrivateEquity,156.0
936,2017-03-06,Juno Clinic,ecommerce,Online Counseling Platform,Mumbai,Atul Nishar,Seed/Angel,9.6
937,2017-03-06,Summerlabel,ecommerce,Fashion and Lifestyle discovery platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed/Angel,1.2
938,2017-03-06,PickMe,ecommerce,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,PrivateEquity,14.32
939,2017-03-07,Agrostar,tech,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,PrivateEquity,80.0
940,2017-03-07,Zapr,tech,"DSP, TV Analytics & Cross-Platform advertising",Bangalore,Star India Pvt Ltd,PrivateEquity,80.0
941,2017-03-07,Data Resolve,tech,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,PrivateEquity,8.0
942,2017-03-07,Book Servicing,ecommerce,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed/Angel,0.24
943,2017-03-07,Blowhorn,ecommerce,Intra-City Logistics provider,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",PrivateEquity,29.2
944,2017-03-08,Rivigo,transport_mobility,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),PrivateEquity,120.0
